#'name','altname','hi_coords','cz','w50','size','m_hi','a40','other_obs','wiyn_obs',inst’,'mis',stacked’,proc'
HVC123.11-33.67-176,AGC102992,005206.2+291204,-177,21,24x10,5.48,yes,,no,,,,
HVC123.74-33.47-289,AGC102994,005431.6+292402,-290,21,6x5,5.2,yes,,2016 Oct,ODI,,,
HVC111.65-30.53-124,AGC103417,000554.3+312014,-128,21,27x15,5.74,yes,,no,,,,
HVC128.40-37.57+83,AGC113843,011035.2+250601,84,15,17x8,,no,,no,,,,
HVC137.90-31.73-327,AGC114116,014952.1+292600,-325,34,29x16,5.97,yes,,no,,,,
HVC138.39-32.71-320,AGC114117,015031.4+282259,-317,22,19x13,6.02,yes,,no,,,,
HVC131.90-46.50-276,AGC114574,011703.4+155548,-273,27,10x6,5.22,yes,,no,,,,
HVC141.38-31.05+46,AGC122834,020348.8+291313,49,16,14x8,,no,,2014 Oct,pODI,,,
HVC141.80-30.91+26,AGC122835,020535.5+291356,29,23,6x5,,no,,2016 Oct,ODI,,,
HVC154.00-29.03-141,AGC122836,025229.7+262630,-135,27,29x15,6.21,yes,,no,,,,
HVC205.28+18.70+150,AGC174540,074559.9+145837,162,23,10x6,5.69,yes,,2013 Mar,pODI,mis,,done
HVC196.50+24.42+146,AGC174763,075527.1+244143,156,20,16x11,5.82,yes,,no,,,,
HVC196.09+24.74+166,AGC174764,075614.8+250900,175,24,10x5,5.19,yes,,2016 Oct,ODI,,,
HVC198.48+31.09+165,AGC189054,082546.7+251128,173,26,19x13,5.62,yes,,no,,,,
HVC204.88+44.86+147,AGC198511,093013.2+241217,152,15,8x6,5.24,yes,WSRT,2013 Mar,pODI,mis,sj,
HVC214.78+42.45+47,AGC198606,093005.5+163903,53,21,9,6.2,no,,2013 Mar,pODI,,sj,pub
HVC234.33+51.28+143,AGC208315,102701.1+084708,148,20,15x10,6.07,yes,,2017 Apr,ODI,,,
HVC248.02+50.88+174,AGC208524,104702.5+014631,179,14,5,5.2,no,,2017 Apr,ODI,,,
HVC245.26+69.53+217,AGC215417,114008.1+150644,216,17,10x9,5.22,yes,,2013 Mar,pODI,mis,sj,
HVC250.16+57.45+139,AGC219214,110929.8+052601,142,20,7x4,5.12,yes,,planned,,,,
HVC252.98+60.17+142,AGC219274,112119.6+062132,143,27,28x15,6.3,yes,,no,,,,
HVC253.04+61.98+148,AGC219276,112624.8+073915,149,36,14x12,5.69,yes,,no,,,,
HVC255.76+61.49+181,AGC219278,112855.6+062529,182,18,11x6,5.33,yes,,no,,,,
HVC256.34+61.37+166,AGC219279,112928.6+060923,167,24,12x11,5.55,yes,,no,,,,
HVC274.68+74.70-123,AGC226067,122154.7+132810,-128,54,5x4,5.34,yes,,2013 Mar,pODI,mis,sj,pub
HVC290.19+70.86+204,AGC226165,123440.2+082408,200,21,10x6,5.33,yes,,no,,,,
HVC295.19+72.63+225,AGC226170,124204.6+095405,220,28,14x12,5.44,yes,,no,,,,
HVC277.25+65.14-140,AGC227977,120920.0+042330,-142,23,7x4,5.03,yes,,2014 Mar; poor seeing,pODI,mis,,
HVC298.95+68.17+270,AGC227987,124529.8+052023,265,26,16x9,6.12,yes,,2014 Mar,pODI,mis,sj,
HVC299.62+67.65+326,AGC227988,124622.9+044842,321,41,5,5.1,no,LBW;CTIO,planned,,mis,,
HVC271.57+79.03+248,AGC229326,122734.7+173823,242,23,8,5.3,no,WSRT,2013 Apr; poor seeing,pODI,,sj,
HVC276.53+79.84+255,AGC229327,123231.6+175721,249,19,11,5.3,no,,2013 Apr; poor seeing,pODI,mis,,
HVC292.94+70.42+159,AGC229344,123758.5+074849,154,15,17x14,5.59,yes,,no,,,,
HVC336.23+75.97+114,AGC232765,132309.4+151117,105,23,5,5.5,no,,2016 Apr,ODI,,,
HVC324.03+75.51+135,AGC233763,131242.3+133046,127,29,7x5,5.35,yes,,2017 Apr; poor seeing,,,,
HVC320.95+72.32+185,AGC233830,131321.5+101257,177,23,21x16,5.6,yes,,no,,,,
HVC330.13+73.07+132,AGC233831,132241.6+115231,124,16,6x3,5.17,yes,,planned,,,,
HVC314.57+74.80+218,AGC238626,130351.1+121223,211,36,4,4.9,no,,2013 Mar,pODI,,sj,done
HVC326.91+65.25+316,AGC238713,133043.8+041338,308,26,12x10,5.47,yes,,2013 Mar,pODI,mis,sj,
HVC3.96+69.03+78,AGC249000,140721.7+154526,66,31,9,5.6,no,,2014 Apr,pODI,,sj,done
HVC351.17+58.56+214,AGC249282,142321.2+043437,203,40,7x5,5.53,yes,VLA-D,2013 Mar,pODI,mis,sj,done
HVC352.45+59.06+263,AGC249283,142357.7+052340,252,32,16x11,5.42,yes,,planned,,mis,,
HVC346.46+62.52+69,AGC249320,140600.0+060736,59,24,5,5.3,no,,2014 Mar,pODI,,,
HVC353.41+61.07+257,AGC249323,141948.6+071115,246,20,13x9,5.5,yes,,2013 Apr; poor seeing,pODI,mis,sj,
HVC353.89+61.13-135,AGC249324,142018.0+072333,-146,21,8,5.4,no,CTIO,no,,,,
HVC356.81+58.51+148,AGC249326,143158.8+063520,136,38,6x5,5.22,yes,,planned,,mis,,
HVC28.09+71.86-144,AGC249393,141058.1+241204,-157,43,15x9,5.42,yes,,2013 Apr; poor seeing,pODI,mis,,
HVC340.05+57.54-122,AGC249441,140700.8+001323,-131,16,8,5.2,no,,planned,,mis,,
HVC11.76+67.89+60,AGC249525,141750.1+173252,48,24,9,6.2,no,WSRT,2013 Apr,pODI,,sj,pub
HVC26.01+45.52+161,AGC257956,155507.5+142929,144,25,8x6,5.56,yes,,2017 Apr,,,,
HVC26.11+45.88+163,AGC257994,155354.0+144148,146,23,12x7,5.68,yes,,planned,,,,
HVC13.59+54.52+169,AGC258237,150723.0+113256,155,23,10x5,5.5,yes,,2013 Apr + Mar,pODI,mis,sj,done
HVC13.60+54.23+179,AGC258241,150824.4+112422,164,17,15x7,5.37,yes,CTIO,planned,,mis,,
