# ID  name  B  Berr  V  Verr  R  Rerr  I  Ierr  psfMag_u  psfMagErr_u  psfMag_g  psfMagErr_g  psfMag_r  psfMagErr_r  psfMag_i  psfMagErr_i  psfMag_z  psfMagErr_z  good_u  good_g  good_r  good_i  good_z
1-752-40-2-313-78  L104-S13  15.88  0  14.943  0  14.453  0  13.948  0  17.379  0.018  15.383  0.016  14.625  0.018  14.376  0.017  14.234  0.016  1  1  1  1  1
1-752-40-2-313-83  L104-S14  16.974  0  16.334  0  15.991  0  15.544  0  17.856  0.019  16.598  0.016  16.13  0.018  15.952  0.018  15.861  0.016  1  1  1  1  1
1-752-40-2-313-93  L104-S17  15.765  0  15.226  0  14.944  0  14.593  0  16.465  0.017  15.388  0.016  15.057  0.018  14.974  0.017  14.965  0.016  1  1  1  1  1
1-752-40-2-313-206  L104-S21  17.929  0  16.445  0  15.531  0  14.535  0  19.98  0.041  17.285  0.016  15.856  0.018  15.092  0.017  14.657  0.016  1  1  1  1  1
1-752-40-2-313-209  L104-S22  18.832  0  17.445  0  16.583  0  15.797  0  20.869  0.077  18.234  0.016  16.87  0.018  16.312  0.018  15.968  0.017  1  1  1  1  1
1-752-40-2-314-5  L104-S23  15.587  0  14.979  0  14.662  0  14.314  0  16.454  0.018  15.272  0.02  14.876  0.025  14.725  0.021  14.716  0.019  1  0  1  1  1
1-752-40-2-314-9  L104-325  16.284  0  15.642  0  15.311  0  14.927  0  17.195  0.019  15.909  0.02  15.476  0.025  15.308  0.021  15.272  0.019  1  0  1  1  1
1-752-40-2-314-12  L104-S28  17.883  0  17.254  0  16.909  0  16.53  0  18.811  0.024  17.53  0.021  17.081  0.025  16.922  0.021  16.862  0.021  1  0  1  1  1
1-752-40-2-314-16  L104-S34  15.543  0  14.793  0  0  0  13.972  0  16.612  0.018  15.119  0.02  14.577  0.025  14.374  0.021  14.307  0.019  1  0  1  1  1
1-752-40-2-314-32  L104-330  15.921  0  15.304  0  14.933  0  14.55  0  16.749  0.018  15.546  0.02  15.113  0.025  14.937  0.021  14.9  0.019  1  0  1  1  1
1-752-40-2-314-38  L104-S37  15.099  0  14.506  0  14.17  0  13.828  0  15.94  0.018  14.727  0.02  14.333  0.025  14.198  0.021  14.19  0.019  1  0  1  1  1
1-752-40-2-314-41  L104-S40  18.297  0  17.396  0  16.929  0  16.408  0  19.561  0.031  17.796  0.021  17.125  0.025  16.827  0.021  16.703  0.021  1  0  1  1  1
1-752-40-2-314-51  L104-S43  18.581  0  17.878  0  17.492  0  17.059  0  19.542  0.033  18.182  0.021  17.637  0.025  17.454  0.021  17.379  0.022  1  0  1  1  1
1-752-40-2-314-78  L104-336  15.241  0  14.41  0  13.95  0  13.546  0  16.53  0.018  14.789  0.02  14.14  0.025  13.932  0.021  13.884  0.019  0  0  1  1  1
1-752-40-2-314-84  L104-S48  17.97  0  17.326  0  16.966  0  16.61  0  18.76  0.024  17.565  0.021  17.106  0.025  16.983  0.021  16.916  0.021  1  0  1  1  1
1-752-40-2-314-86  L104-S50  17.611  0  16.827  0  16.388  0  15.953  0  18.755  0.024  17.148  0.02  16.538  0.025  16.356  0.021  16.247  0.02  1  0  1  1  1
1-752-40-2-314-88  L104-338  16.661  0  16.077  0  15.729  0  15.384  0  17.406  0.019  16.348  0.02  15.921  0.025  15.787  0.021  15.755  0.02  1  0  1  1  1
1-752-40-2-314-92  L104-S53  18.16  0  17.359  0  16.903  0  16.457  0  19.298  0.029  17.719  0.021  17.073  0.025  16.859  0.021  16.619  0.021  1  0  1  1  0
1-752-40-2-314-94  L104-S54  16.055  0  15.302  0  14.88  0  14.489  0  17.129  0.019  15.662  0.02  15.024  0.025  14.915  0.021  14.854  0.019  0  0  1  1  1
1-752-40-2-314-96  L104-339  16.298  0  15.471  0  14.944  0  14.515  0  17.598  0.019  15.852  0.02  15.165  0.025  14.94  0.021  14.842  0.019  1  0  1  1  1
1-752-40-2-314-98  L104-244  16.626  0  16.067  0  15.712  0  15.366  0  17.326  0.019  16.279  0.02  15.877  0.025  15.741  0.021  15.699  0.02  1  0  1  1  1
1-752-40-2-314-108  L104-S25  18.636  0  17.463  0  16.764  0  16.135  0  20.577  0.062  18.095  0.021  16.991  0.025  16.591  0.021  16.374  0.02  1  0  1  1  1
1-752-40-2-314-123  L104-S32  18.407  0  17.255  0  16.543  0  15.936  0  20.291  0.05  17.857  0.021  16.784  0.025  16.387  0.021  16.173  0.02  1  0  1  1  1
1-752-40-2-314-129  L104-S39  18.222  0  16.872  0  15.992  0  15.122  0  20.173  0.046  17.571  0.021  16.29  0.025  15.632  0.021  15.268  0.019  1  0  1  1  1
1-752-40-2-314-161  L104-S47  18.764  0  17.469  0  16.721  0  16.019  0  20.826  0.076  18.203  0.021  16.961  0.025  16.501  0.021  16.253  0.02  1  0  1  1  1
1-752-40-2-314-168  L104-S51  18.931  0  18.042  0  17.512  0  16.973  0  20.139  0.046  18.474  0.021  17.701  0.025  17.399  0.021  17.249  0.022  1  0  1  1  1
1-752-40-2-315-8  L104-S59  15.701  0  15.139  0  0  0  14.472  0  16.552  0.011  15.381  0.016  14.978  0.014  14.864  0.014  14.826  0.027  0  1  1  1  1
1-752-40-2-315-16  L104-S60  15.955  0  15.2  0  14.795  0  14.357  0  17.051  0.012  15.574  0.016  14.981  0.014  14.801  0.014  14.709  0.027  0  1  1  1  1
1-752-40-2-315-29  L104-S63  17.161  0  16.291  0  0  0  15.334  0  18.583  0.018  16.727  0.016  15.971  0.014  15.752  0.014  15.611  0.027  0  1  1  1  1
1-752-40-2-315-33  L104-S65  16.51  0  15.788  0  0  0  14.966  0  17.554  0.013  16.107  0.016  15.543  0.014  15.384  0.014  15.28  0.027  0  1  1  1  1
